country_id,state_id,fips,population
AD,,,77265
AE,,,9890400
AF,,,38928341
AG,,,97928
AI,,,15002
AL,,,2877800
AM,,,2963234
AO,,,32866267
AQ,,,
AR,,,45195777
AS,,,55197
AT,,,9006400
AU,,,25499881
AW,,,106766
AX,,,
AZ,,,10139175
BA,,,3280815
BB,,,287371
BD,,,164689383
BE,,,11589616
BF,,,20903278
BG,,,6948445
BH,,,1701583
BI,,,11890781
BJ,,,12123198
BL,,,9885
BM,,,62273
BN,,,437483
BO,,,11673029
BQ,,,26221
BR,,,212559409
BS,,,393248
BT,,,771612
BV,,,
BW,,,2351625
BY,,,9449321
BZ,,,397621
CA,,,37742157
CC,,,
CD,,,89561404
CF,,,4829764
CG,,,5518092
CH,,,8654618
CI,,,26378275
CK,,,17564
CL,,,19116209
CM,,,26545864
CN,,,1439323774
CO,,,50882884
CR,,,5094114
CU,,,11326616
CV,,,555988
CW,,,164100
CX,,,
CY,,,1207361
CZ,,,10708982
DE,,,83783945
DJ,,,988002
DK,,,5792203
DM,,,71991
DO,,,10847904
DZ,,,43851043
EC,,,17643060
EE,,,1326539
EG,,,102334403
EH,,,597330
ER,,,3546427
ES,,,46754783
ET,,,114963583
FI,,,5540718
FJ,,,896444
FK,,,3483
FM,,,548927
FO,,,48865
FR,,,65273512
GA,,,2225728
GB,,,67886004
GD,,,112519
GE,,,3989175
GF,,,298682
GG,,,
GH,,,31072945
GI,,,33691
GL,,,56772
GM,,,2416664
GN,,,13132792
GP,,,400127
GQ,,,1402985
GR,,,10423056
GS,,,
GT,,,17915567
GU,,,168783
GW,,,1967998
GY,,,786559
GZ,,,
HK,,,7496988
HM,,,
HN,,,9904608
HR,,,4105268
HT,,,11402533
HU,,,9660350
ID,,,273523621
IE,,,4937796
IL,,,8655541
IM,,,85032
IN,,,1380004385
IO,,,
IQ,,,40222503
IR,,,83992953
IS,,,341250
IT,,,60461828
JE,,,
JM,,,2961161
JO,,,10203140
JP,,,126476458
KE,,,53771300
KG,,,6524191
KH,,,16718971
KI,,,119446
KM,,,869595
KN,,,53192
KP,,,25778815
KR,,,51269183
KW,,,4270563
KY,,,65720
KZ,,,18776707
LA,,,7275556
LB,,,6825442
LC,,,183629
LI,,,38137
LK,,,21413250
LR,,,5057677
LS,,,2142252
LT,,,2722291
LU,,,625976
LV,,,1886202
LY,,,6871287
MA,,,36910558
MC,,,39244
MD,,,4033963
ME,,,628062
MF,,,38659
MG,,,27691019
MH,,,59194
MK,,,2083380
ML,,,20250834
MM,,,54409794
MN,,,3278292
MO,,,649342
MP,,,57557
MQ,,,375265
MR,,,4649660
MS,,,4999
MT,,,441539
MU,,,1271767
MV,,,540542
MW,,,19129955
MX,,,128932753
MY,,,32365998
MZ,,,31255435
NA,,,2540916
NC,,,285491
NE,,,24206636
NF,,,
NG,,,206139587
NI,,,6624554
NL,,,17134873
NO,,,5421242
NP,,,29136808
NR,,,10834
NU,,,1618
NZ,,,4822233
OM,,,5106622
PA,,,4314768
PE,,,32971845
PF,,,280904
PG,,,8947027
PH,,,109581085
PK,,,220892331
PL,,,37846605
PM,,,5795
PN,,,
PR,,,2860840
PS,,,5101416
PT,,,10196707
PW,,,18092
PY,,,7132530
QA,,,2881060
RE,,,895308
RO,,,19237682
RS,,,8737370
RU,,,145934460
RW,,,12952209
SA,,,34813867
SB,,,686878
SC,,,98340
SD,,,43849269
SE,,,10099270
SG,,,5850343
SH,,,6071
SI,,,2078931
SJ,,,
SK,,,5459643
SL,,,7976985
SM,,,33938
SN,,,16743930
SO,,,15893219
SR,,,586634
SS,,,11193729
ST,,,219161
SV,,,6486201
SX,,,42882
SY,,,17500657
SZ,,,1160164
TC,,,38718
TD,,,16425859
TF,,,
TG,,,8278736
TH,,,69799978
TJ,,,9537642
TK,,,1350
TL,,,1318442
TM,,,6031187
TN,,,11818618
TO,,,105697
TR,,,84339067
TT,,,1399491
TV,,,11792
TW,,,23816775
TZ,,,59734213
UA,,,43733759
UG,,,45741000
UM,,,
US,,,331002647
UY,,,3473727
UZ,,,33469199
VA,,,809
VC,,,110947
VE,,,28435943
VG,,,30237
VI,,,104423
VN,,,97338583
VU,,,307150
WF,,,11246
WS,,,198410
XK,,,
YE,,,29825968
YT,,,272813
ZA,,,59308690
ZM,,,18383956
ZW,,,14862927
