zip,fips,name,country_id,state_id
00501,36103,Suffolk County,US,NY
00601,72113,Ponce Municipio,US,PR
00601,72001,Adjuntas Municipio,US,PR
00602,72003,Aguada Municipio,US,PR
00602,72005,Aguadilla Municipio,US,PR
00603,72005,Aguadilla Municipio,US,PR
00603,72099,Moca Municipio,US,PR
00603,72071,Isabela Municipio,US,PR
00604,72005,Aguadilla Municipio,US,PR
00605,72005,Aguadilla Municipio,US,PR
00606,72093,Maricao Municipio,US,PR
00610,72011,Añasco Municipio,US,PR
00611,72141,Utuado Municipio,US,PR
00612,72017,Barceloneta Municipio,US,PR
00612,72054,Florida Municipio,US,PR
00612,72013,Arecibo Municipio,US,PR
00612,72141,Utuado Municipio,US,PR
00612,72065,Hatillo Municipio,US,PR
00613,72013,Arecibo Municipio,US,PR
00614,72013,Arecibo Municipio,US,PR
00616,72013,Arecibo Municipio,US,PR
00617,72017,Barceloneta Municipio,US,PR
00617,72054,Florida Municipio,US,PR
00617,72091,Manatí Municipio,US,PR
00622,72023,Cabo Rojo Municipio,US,PR
00623,72023,Cabo Rojo Municipio,US,PR
00623,72097,Mayagüez Municipio,US,PR
00624,72059,Guayanilla Municipio,US,PR
00624,72113,Ponce Municipio,US,PR
00624,72111,Peñuelas Municipio,US,PR
00627,72027,Camuy Municipio,US,PR
00631,72081,Lares Municipio,US,PR
00637,72121,Sabana Grande Municipio,US,PR
00638,72107,Orocovis Municipio,US,PR
00638,72039,Ciales Municipio,US,PR
00641,72141,Utuado Municipio,US,PR
00641,72113,Ponce Municipio,US,PR
00646,72137,Toa Baja Municipio,US,PR
00646,72135,Toa Alta Municipio,US,PR
00646,72143,Vega Alta Municipio,US,PR
00646,72051,Dorado Municipio,US,PR
00647,72055,Guánica Municipio,US,PR
00647,72121,Sabana Grande Municipio,US,PR
00650,72054,Florida Municipio,US,PR
00650,72013,Arecibo Municipio,US,PR
00650,72017,Barceloneta Municipio,US,PR
00650,72091,Manatí Municipio,US,PR
00652,72013,Arecibo Municipio,US,PR
00653,72055,Guánica Municipio,US,PR
00653,72153,Yauco Municipio,US,PR
00656,72059,Guayanilla Municipio,US,PR
00659,72013,Arecibo Municipio,US,PR
00659,72065,Hatillo Municipio,US,PR
00660,72097,Mayagüez Municipio,US,PR
00660,72067,Hormigueros Municipio,US,PR
00662,72115,Quebradillas Municipio,US,PR
00662,72005,Aguadilla Municipio,US,PR
00662,72071,Isabela Municipio,US,PR
00662,72099,Moca Municipio,US,PR
00664,72141,Utuado Municipio,US,PR
00664,72073,Jayuya Municipio,US,PR
00667,72079,Lajas Municipio,US,PR
00667,72121,Sabana Grande Municipio,US,PR
00669,72081,Lares Municipio,US,PR
00670,72083,Las Marías Municipio,US,PR
00674,72091,Manatí Municipio,US,PR
00674,72145,Vega Baja Municipio,US,PR
00674,72017,Barceloneta Municipio,US,PR
00674,72101,Morovis Municipio,US,PR
00676,72131,San Sebastián Municipio,US,PR
00676,72099,Moca Municipio,US,PR
00677,72117,Rincón Municipio,US,PR
00678,72115,Quebradillas Municipio,US,PR
00680,72011,Añasco Municipio,US,PR
00680,72097,Mayagüez Municipio,US,PR
00680,72023,Cabo Rojo Municipio,US,PR
00680,72067,Hormigueros Municipio,US,PR
00681,72097,Mayagüez Municipio,US,PR
00682,72097,Mayagüez Municipio,US,PR
00683,72097,Mayagüez Municipio,US,PR
00683,72125,San Germán Municipio,US,PR
00683,72121,Sabana Grande Municipio,US,PR
00683,72023,Cabo Rojo Municipio,US,PR
00683,72079,Lajas Municipio,US,PR
00685,72131,San Sebastián Municipio,US,PR
00687,72145,Vega Baja Municipio,US,PR
00687,72091,Manatí Municipio,US,PR
00687,72101,Morovis Municipio,US,PR
00687,72143,Vega Alta Municipio,US,PR
00688,72013,Arecibo Municipio,US,PR
00690,72005,Aguadilla Municipio,US,PR
00692,72143,Vega Alta Municipio,US,PR
00692,72101,Morovis Municipio,US,PR
00692,72145,Vega Baja Municipio,US,PR
00692,72051,Dorado Municipio,US,PR
00693,72091,Manatí Municipio,US,PR
